Material,Data de remessa mais recente,Soma de Saldo,Último UM pedido,Primeiro Fornecedor
13300-156,2023-07-05 00:00:00,5000,M,TRAMAR INDUSTRIAL LTDA.
13300-165,2023-07-05 00:00:00,500,M,SPARFLEX FIOS CABOS ESPECIAIS
13500-008,2023-07-05 00:00:00,115,M,MONTRONIC MONT. ELETR. LTDA.
21000000955,2023-07-03 00:00:00,15,UN,CHIAPERINI INDUSTRIAL LTDA
21000000956,2023-07-03 00:00:00,6,UN,CHIAPERINI INDUSTRIAL LTDA
21000000957,2023-07-03 00:00:00,18,UN,CHIAPERINI INDUSTRIAL LTDA
21000000958,2023-07-03 00:00:00,4,UN,CHIAPERINI INDUSTRIAL LTDA
21000000959,2023-07-03 00:00:00,14,UN,CHIAPERINI INDUSTRIAL LTDA
21000001030,2023-07-04 00:00:00,33,UN,CS IND ELETRONICA LTDA
26013-200,2023-07-05 00:00:00,24,PC,ADHEZIVE TECH IND COMP ELET ETIQ LT
26022-061,2023-07-05 00:00:00,63,PC,MAR GIRIUS CONT.I.C.ELET.LT
26030-010,2023-07-05 00:00:00,100,PC,BSG COMPONENTES ELETRO ELET. LTDA
26030-016,2023-07-05 00:00:00,5000,PC,BSG COMPONENTES ELETRO ELET. LTDA
26038-265,2023-07-05 00:00:00,80,PC,MAXTECH COMERCIAL IM E EXP LTD
26038-270,2023-07-05 00:00:00,600,PC,SOB SCHURTER OKW DO BRASIL COMP. EL
26164-009,2023-07-03 00:00:00,441,PC,VITORIA COMPONENTES ELETRONICOS EIR
26288-335,2023-07-05 00:00:00,39,CJ,DE PAULA CONEXÕES LTDA - E.P.P.
26288-338,2023-07-05 00:00:00,33,CJ,MONTRONIC MONT. ELETR. LTDA.
26292-200,2023-07-05 00:00:00,50,PC,CONECTHER IND. DE CHICOTES ELET. LT
26292-202,2023-07-05 00:00:00,19,PC,MONTRONIC MONT. ELETR. LTDA.
26292-205,2023-07-05 00:00:00,31,PC,CONECTHER IND. DE CHICOTES ELET. LT
26304-220,2023-07-05 00:00:00,6,PC,MAR GIRIUS CONT.I.C.ELET.LT
26304-225,2023-07-05 00:00:00,1,PC,MAR GIRIUS CONT.I.C.ELET.LT
26315-207,2023-07-05 00:00:00,100,PC,ADHEZIVE TECH IND COMP ELET ETIQ LT
26438-022,2023-07-05 00:00:00,241,PC,MAR GIRIUS CONT.I.C.ELET.LT
26438-030,2023-07-05 00:00:00,100,PC,BSG COMPONENTES ELETRO ELET. LTDA
26459-216,2023-07-05 00:00:00,5,PC,ECEL IND. E COM. LTDA.
26460-200,2023-07-05 00:00:00,96,CJ,TERMOEPS COMERCIAL E INDUSTRIAL DE
26465-212,2023-07-05 00:00:00,60,PC,ADHEZIVE TECH IND COMP ELET ETIQ LT
26465-223,2023-07-05 00:00:00,160,PC,COMOTEC IND.COMERCIO LTDA.
26465-236,2023-07-05 00:00:00,250,PC,CS BRASIL FABR DE CHICOTES ELET
26465-248,2023-07-05 00:00:00,4000,PC,DABI COM.COMP.ELETRONICO LTDA
26465-250,2023-07-05 00:00:00,53,PC,MONTRONIC MONT. ELETR. LTDA.
26467-203,2023-07-05 00:00:00,310,PC,DICOMPEL IND. E COM. LTDA.
26467-208,2023-07-05 00:00:00,272,PC,MONTRONIC MONT. ELETR. LTDA.
